year,epi_week,total_cases,total_tests,min_date,max_date,new_week
2021,27,7104,266760,2021-07-04,2021-07-10,1
2021,28,11940,314546,2021-07-11,2021-07-17,2
2021,29,16521,383429,2021-07-18,2021-07-24,3
2021,30,20632,412808,2021-07-25,2021-07-31,4
2021,31,22576,605777,2021-08-01,2021-08-07,5
2021,32,22911,837833,2021-08-08,2021-08-14,6
2021,33,20277,999411,2021-08-15,2021-08-21,7
2021,34,16862,1064937,2021-08-22,2021-08-28,8
2021,35,14470,1038312,2021-08-29,2021-09-04,9
2021,36,12009,931172,2021-09-05,2021-09-11,10
2021,37,10609,1026864,2021-09-12,2021-09-18,11
2021,38,9130,1064113,2021-09-19,2021-09-25,12
2021,39,8021,1078390,2021-09-26,2021-10-02,13
2021,40,6710,1027819,2021-10-03,2021-10-09,14
2021,41,6608,1050855,2021-10-10,2021-10-16,15
2021,42,7483,1060224,2021-10-17,2021-10-23,16
2021,43,8011,1023854,2021-10-24,2021-10-30,17
2021,44,8583,1071246,2021-10-31,2021-11-06,18
2021,45,7623,1024127,2021-11-07,2021-11-13,19
2021,46,7148,1065110,2021-11-14,2021-11-20,20
2021,47,6058,354724,2021-11-21,2021-11-27,21
2021,48,10872,1149550,2021-11-28,2021-12-04,22
2021,49,10337,1101793,2021-12-05,2021-12-11,23
2021,50,22655,1087507,2021-12-12,2021-12-18,24
2021,51,66511,660222,2021-12-19,2021-12-25,25
2021,52,164719,872222,2021-12-26,2021-12-31,26
2022,1,333973,1911026,2022-01-02,2022-01-08,27
2022,2,250212,1801943,2022-01-09,2022-01-15,28
2022,3,171910,1533217,2022-01-16,2022-01-22,29
2022,4,88338,1339743,2022-01-23,2022-01-29,30
2022,5,43660,1182566,2022-01-30,2022-02-05,31
2022,6,24814,1085176,2022-02-06,2022-02-12,32
2022,7,14004,986769,2022-02-13,2022-02-19,33
2022,8,8448,926381,2022-02-20,2022-02-26,34
