year,epi_week,total_cases,total_tests,min_date,max_date
2021,22,975,392712,2021-06-01,2021-06-05
2021,23,1254,343493,2021-06-06,2021-06-12
2021,24,1478,256141,2021-06-13,2021-06-19
2021,25,2065,269808,2021-06-20,2021-06-26
2021,26,3742,267564,2021-06-27,2021-07-03
2021,27,7104,266760,2021-07-04,2021-07-10
2021,28,11940,314546,2021-07-11,2021-07-17
2021,29,16521,383429,2021-07-18,2021-07-24
2021,30,20632,412808,2021-07-25,2021-07-31
2021,31,22576,605777,2021-08-01,2021-08-07
2021,32,22911,837833,2021-08-08,2021-08-14
2021,33,20277,999411,2021-08-15,2021-08-21
2021,34,16862,1064937,2021-08-22,2021-08-28
2021,35,14470,1038312,2021-08-29,2021-09-04
2021,36,12009,931172,2021-09-05,2021-09-11
2021,37,10609,1026864,2021-09-12,2021-09-18
2021,38,9130,1064113,2021-09-19,2021-09-25
2021,39,8021,1078390,2021-09-26,2021-10-02
2021,40,6710,1027819,2021-10-03,2021-10-09
2021,41,6608,1050855,2021-10-10,2021-10-16
2021,42,7483,1060224,2021-10-17,2021-10-23
2021,43,8011,1023854,2021-10-24,2021-10-30
2021,44,8583,1071246,2021-10-31,2021-11-06
2021,45,7623,1024127,2021-11-07,2021-11-13
2021,46,7148,1065110,2021-11-14,2021-11-20
2021,47,6058,354724,2021-11-21,2021-11-27
2021,48,10872,1149550,2021-11-28,2021-12-04
2021,49,10337,1101793,2021-12-05,2021-12-11
2021,50,22655,1087507,2021-12-12,2021-12-18
2021,51,66511,660222,2021-12-19,2021-12-25
2021,52,164719,872222,2021-12-26,2021-12-31
2022,1,333973,1911026,2022-01-02,2022-01-08
2022,2,250212,1801943,2022-01-09,2022-01-15
2022,3,171910,1533217,2022-01-16,2022-01-22
2022,4,88338,1339743,2022-01-23,2022-01-29
2022,5,43660,1182566,2022-01-30,2022-02-05
2022,6,24814,1085176,2022-02-06,2022-02-12
2022,7,14004,986769,2022-02-13,2022-02-19
2022,8,8448,926381,2022-02-20,2022-02-26
2022,9,6129,889361,2022-02-27,2022-03-05
2022,10,4297,849365,2022-03-06,2022-03-12
2022,11,4013,827663,2022-03-13,2022-03-19
2022,12,4370,789533,2022-03-20,2022-03-26
2022,13,5024,734760,2022-03-27,2022-04-02
2022,14,6438,753455,2022-04-03,2022-04-09
2022,15,7625,374165,2022-04-10,2022-04-16
2022,16,10782,858518,2022-04-17,2022-04-23
2022,17,13708,926580,2022-04-24,2022-04-30
2022,18,17644,917867,2022-05-01,2022-05-07
2022,19,20068,936963,2022-05-08,2022-05-14
2022,20,26109,941709,2022-05-15,2022-05-21
2022,21,29977,929894,2022-05-22,2022-05-28
2022,22,30802,884416,2022-05-29,2022-06-04
2022,23,31211,761128,2022-06-05,2022-06-11
2022,24,27518,370703,2022-06-12,2022-06-18
2022,25,30464,351997,2022-06-19,2022-06-25
2022,26,36286,346094,2022-06-26,2022-07-02
2022,27,38091,321715,2022-07-03,2022-07-09
2022,28,41865,351832,2022-07-10,2022-07-16
2022,29,38590,341518,2022-07-17,2022-07-23
2022,30,32188,314747,2022-07-24,2022-07-30
2022,31,26852,294576,2022-07-31,2022-08-06
2022,32,22175,292818,2022-08-07,2022-08-13
2022,33,19066,276848,2022-08-14,2022-08-20
2022,34,16385,277092,2022-08-21,2022-08-27
2022,35,12831,265165,2022-08-28,2022-09-03
2022,36,10233,247048,2022-09-04,2022-09-10
2022,37,8861,258189,2022-09-11,2022-09-17
2022,38,7909,248566,2022-09-18,2022-09-24
2022,39,7442,228523,2022-09-25,2022-10-01
2022,40,5989,194006,2022-10-02,2022-10-08
2022,41,5242,188956,2022-10-09,2022-10-15
2022,42,5248,186282,2022-10-16,2022-10-22
2022,43,5812,190911,2022-10-23,2022-10-29
2022,44,7503,192014,2022-10-30,2022-11-05
2022,45,8990,193063,2022-11-06,2022-11-12
2022,46,11725,205080,2022-11-13,2022-11-19
2022,47,15696,160055,2022-11-20,2022-11-26
2022,48,24302,254191,2022-11-27,2022-12-03
2022,49,18606,231154,2022-12-04,2022-12-10
2022,50,15849,217193,2022-12-11,2022-12-17
2022,51,14476,160027,2022-12-18,2022-12-24
2022,52,24551,172725,2022-01-01,2022-12-31
2023,1,10609,169371,2023-01-01,2023-01-07
2023,2,6993,169492,2023-01-08,2023-01-14
2023,3,5439,158659,2023-01-15,2023-01-21
2023,4,5581,152270,2023-01-22,2023-01-28
2023,5,5898,145512,2023-01-29,2023-02-04
2023,6,5974,132318,2023-02-05,2023-02-11
2023,7,5795,126383,2023-02-12,2023-02-18
2023,8,5459,128691,2023-02-19,2023-02-25
2023,9,4812,124722,2023-02-26,2023-03-04
2023,10,3915,120085,2023-03-05,2023-03-11
2023,11,3442,112193,2023-03-12,2023-03-18
2023,12,2114,92258,2023-03-19,2023-03-25
2023,13,131,NA,2023-03-26,2023-03-28
