time,E2I_transitions
78,55
79,58
80,60
81,72
82,61
83,73
84,51
85,52
86,52
87,53
88,51
89,65
90,69
91,73
92,67
93,76
94,72
95,84
96,73
97,80
98,89
99,99
100,118
101,98
102,99
103,137
104,131
105,138
106,141
107,166
108,153
109,195
110,212
111,218
112,238
113,274
114,290
115,327
116,358
117,351
118,422
119,480
120,479
121,513
122,601
123,579
124,635
125,682
126,737
127,772
128,790
129,940
130,1004
131,1043
132,1017
133,1083
134,1203
135,1225
136,1286
137,1336
138,1415
139,1438
140,1480
141,1532
142,1557
143,1613
144,1605
145,1628
146,1639
147,1621
148,1611
149,1673
150,1626
151,1670
152,1576
153,1483
154,1562
155,1531
156,1532
157,1381
158,1411
159,1304
160,1248
161,1183
162,1103
163,1097
164,1058
165,957
166,904
167,875
168,838
169,782
170,737
171,693
172,650
173,628
174,544
175,499
176,498
177,443
178,441
179,393
180,364
181,345
182,304
183,287
184,317
185,249
186,225
187,243
188,198
189,208
190,183
191,170
192,146
193,126
194,136
195,114
196,126
197,104
198,108
199,90
200,73
201,83
202,61
203,71
204,47
205,63
206,56
207,52
208,53
209,52
210,33
